2018-07-23 14:36:27,362 INFO  [Log] **************************************************************************************** 
2018-07-23 14:36:27,363 INFO  [Log] **************************************************************************************** 
2018-07-23 14:36:27,363 INFO  [Log] $$$$$$$$$$$$$$$$$$$$$                 Selenium_Test_001       $$$$$$$$$$$$$$$$$$$$$$$$$ 
2018-07-23 14:36:27,363 INFO  [Log] **************************************************************************************** 
2018-07-23 14:36:27,363 INFO  [Log] **************************************************************************************** 
2018-07-23 14:36:30,740 INFO  [Log] Init Browser OK 
2018-07-23 14:36:30,743 INFO  [Log] Before navigating to: 'https://aktuelt.osloskolen.no/' 
2018-07-23 14:36:32,986 INFO  [Log] Navigated to:'https://aktuelt.osloskolen.no/' 
2018-07-23 14:36:32,986 INFO  [Log] OPen Url OK 
2018-07-23 14:36:33,364 INFO  [Log] SetEcxel OK 
2018-07-23 14:36:33,369 INFO  [Log] Getdata OK 
2018-07-23 14:36:33,369 INFO  [Log] Username picked from Excel is masya010 
2018-07-23 14:36:33,369 INFO  [Log] Getdata OK 
2018-07-23 14:36:33,369 INFO  [Log] Password picked from Excel is P0rtalBruker! 
2018-07-23 14:36:33,392 INFO  [Log] Trying to click on: [[ChromeDriver: chrome on XP (587979a8b917d12851d741d3cdc2e037)] -> xpath: //*[@id="divMyPageFrontPage"]/a/div[1]] 
2018-07-23 14:36:33,442 INFO  [Log] Clicked on: [[ChromeDriver: chrome on XP (587979a8b917d12851d741d3cdc2e037)] -> xpath: //*[@id="divMyPageFrontPage"]/a/div[1]] 
2018-07-23 14:36:33,659 INFO  [Log] Trying to click on: [[ChromeDriver: chrome on XP (587979a8b917d12851d741d3cdc2e037)] -> link text: Elever og ansatte] 
2018-07-23 14:36:34,521 INFO  [Log] Clicked on: [[ChromeDriver: chrome on XP (587979a8b917d12851d741d3cdc2e037)] -> link text: Elever og ansatte] 
2018-07-23 14:36:34,540 INFO  [Log] Trying to click on: [[ChromeDriver: chrome on XP (587979a8b917d12851d741d3cdc2e037)] -> id: username] 
2018-07-23 14:36:34,580 INFO  [Log] Clicked on: [[ChromeDriver: chrome on XP (587979a8b917d12851d741d3cdc2e037)] -> id: username] 
2018-07-23 14:36:34,656 INFO  [Log] Username entered in the Username text box 
2018-07-23 14:36:34,674 INFO  [Log] Trying to click on: [[ChromeDriver: chrome on XP (587979a8b917d12851d741d3cdc2e037)] -> id: password] 
2018-07-23 14:36:34,713 INFO  [Log] Clicked on: [[ChromeDriver: chrome on XP (587979a8b917d12851d741d3cdc2e037)] -> id: password] 
2018-07-23 14:36:34,801 INFO  [Log] Password entered in the Password text box 
2018-07-23 14:36:34,818 INFO  [Log] Trying to click on: [[ChromeDriver: chrome on XP (587979a8b917d12851d741d3cdc2e037)] -> xpath: //*[@id="feide:login"]/div/div[3]/form/div[3]/div/button] 
2018-07-23 14:36:36,851 INFO  [Log] Clicked on: [[ChromeDriver: chrome on XP (587979a8b917d12851d741d3cdc2e037)] -> xpath: //*[@id="feide:login"]/div/div[3]/form/div[3]/div/button] 
2018-07-23 14:36:36,851 INFO  [Log] Click action performed on Login button 
2018-07-23 14:36:36,909 INFO  [Log] Trying to click on: [[ChromeDriver: chrome on XP (587979a8b917d12851d741d3cdc2e037)] -> link text: Meldinger] 
2018-07-23 14:36:37,602 INFO  [Log] Clicked on: [[ChromeDriver: chrome on XP (587979a8b917d12851d741d3cdc2e037)] -> link text: Meldinger] 
